Cidade,Geocode,Eficiencia,Efic_Norm,Latitude,Longitude,x1,x2,x3,x4,x5,y1,y2,Iy3,Iy4,z1,z2,z3,z4,z5,z6,z7,z8,z9,Bioma
Aurora do Pará,1500958,1.80444797984463,0.537416718519285,-2.13,-47.56,122139.3,2117,19986,6430,5358,47576,22598.42,6.0516e-06,13027,0.94,0.02,0.001692047,0.115929204,0.87,0.015651438,16818,-2.13,-47.56,Amazônia
Aveiro,1501006,1,0.297828878705363,-3.6,-55.33,105724.4,403,5453,4739,401,33675,69499,9.10247e-06,21408,0.94,0.01,0.00086881,0.09726776,0.91,0.025195482,0.93,-3.6,-55.33,Amazônia
Bagre,1501105,1.09839646119255,0.327134186410918,-1.89,-50.16,121284.9,1242,1,3439,730,17165,118117,0.000103851,5733,0.98,0.01,0,0.041698256,0.92,0.008855586,6779,-1.89,-50.16,Amazônia
Baião,1501204,1.53414863347995,0.456913767276699,-2.79,-49.67,74229.6,930,16273,12258,1830,48052,31785.13,6.88485e-06,15.22,0.88,0.04,0.00248227,0.139674895,0.96,0.035106383,12269,-2.79,-49.67,Amazônia
Bannach,1501253,0.999999999999666,0.297828878705264,-7.34,-50.39,232633.2,2003,1,1544,2028,29156,28648.91,1.93658e-06,5817,0.71,0.05,0,0.113095238,0.83,0.179226069,1082,-7.34,-50.39,Amazônia
Barcarena,1501303,0.999999999999913,0.297828878705337,-1.5,-48.62,21097.8,7513,27976,9453,9051,148000,7191,0.000104054,16236,0.95,0.02,0.00448718,0.154094828,0.95,0.004807692,92.47,-1.5,-48.62,Amazônia
Belém,1501402,1,0.297828878705363,-1.45,-48.5,6165.8,68,1,1451,71,10819,1505.57,6.34865e-05,6623,0.89,0.03,0.004991681,0.132231405,0.92,0.011647255,1370.77,-1.45,-48.5,Amazônia
Belterra,1501451,1.29395567432306,0.385377367578079,-2.63,-54.93,45837.1,2909,17268.25,1903,338,37207,18034,1.62788e-05,18564,0.77,0.15,0.005928854,0.238754325,0.9,0.12055336,3922,-2.63,-54.93,Amazônia
Benevides,1501501,1,0.297828878705363,-1.36,-48.24,2803,176,6183.72,466,150,42948,1268,0.000167531,13.95,0.89,0.09,0,0.407407407,0.28,0.018957346,324715,-1.36,-48.24,Amazônia
Bom Jesus do Tocantins,1501576,1.29387585252032,0.385353594340072,-5.05,-48.6,143442.8,3950,36576,4478,3973,96630,21492.65,2.44958e-06,14936,0.79,0.12,0.002318393,0.179074447,0.58,0.073415765,5864,-5.05,-48.6,Amazônia
Bonito,1501600,1,0.297828878705363,-1.36,-47.3,43133.6,832,25101,2556,784,70321,8524.77,8.81418e-05,14264,0.83,0.06,0,0.110985278,0.73,0.042357274,26987,-1.36,-47.3,Amazônia
Bragança,1501709,1.4094742126599,0.419782124320624,-1.06,-46.77,95009.6,3014,28389,17408,4904,94637,24468.48,1.35722e-05,15981,0.84,0.05,0.001101807,0.121766126,0.91,0.041868665,59363,-1.06,-46.77,Amazônia
Brasil Novo,1501725,1.20122779562656,0.357760327441173,-3.26,-52.66,431122.9,6788,43014.42,7573,3296,124814,222184.74,2.17994e-06,9893,0.76,0.08,0.008086253,0.177207977,0.99,0.081940701,2309,-3.26,-52.66,Amazônia
Brejo Grande do Araguaia,1501758,2.16707750367415,0.64541826298689,-5.69,-48.41,113066.2,3741,68110.14,2179,1939,54376,20661.52,4.69723e-06,12445,0.84,0.07,0.003289474,0.228070175,0.72,0.126644737,5574,-5.69,-48.41,Amazônia
Breu Branco,1501782,1.45760927470232,0.434118135875129,-4,-49.46,291661.5,3295,64184,9098,2499,89268,110280,2.96334e-06,15785,0.83,0.08,0.004819277,0.1910299,0.97,0.075100402,16285,-4,-49.46,Amazônia
Breves,1501808,1.31072330775801,0.390371253042553,-1.68,-50.47,235274.1,5981,8080.99,16659,2781,79384,140707,7.44496e-05,10311,0.97,0.01,0.001967729,0.038505354,0.84,0.019480519,10446,-1.68,-50.47,Amazônia
Bujaru,1501907,1,0.297828878705363,-1.51,-48.04,36987.7,591,4990,7389,557,46634,18524,5.48701e-05,7983,0.95,0.04,0.003722504,0.194782609,0.76,0.063959391,28185,-1.51,-48.04,Amazônia
