"Cidade","Bioma","Estado","Regiao","Geocode","Eficiencia_VRS","Efic_Norm_VRS","Eficiencia_CRS","Efic_Norm_CRS","Latitude","Longitude","x1","x2","x3","x4","x5","y1","y2","Iy3","Iy4","z1","z2","z3","z4","z5","z6","z7","z8","z9","cluster","Eficiencia_Bootstrap"
"Novorizonte","Cerrado","MG","SUDESTE",3145372,1.14614347204789,0.872491118597248,1.15209093920632,0.867987036413031,-16.01,-42.4,15194.1,519,2935.65,890,549,7775,10383,0.000166203,14598,0.88,0.31,0.00265252,0.066298343,0.82,0.206896552,19543,-16.01,-42.4,"0.76 - 1.00",1.28370813617889
"Olhos-d'Água","Cerrado","MG","SUDESTE",3145455,1,1,0.99999999999992,1.00000000000008,-17.39,-43.57,150494.7,3346,28790,3191,3828,85519,98230,3.60203e-05,49407,0.58,0.29,0.002247191,0.2,0.8,0.256179775,2841,-17.39,-43.57,"0.76 - 1.00",1.20244983119642
"Onça de Pitangui","Cerrado","MG","SUDESTE",3145802,1.13742951688076,0.879175355623229,1.14456935846606,0.873691045984481,-19.72,-44.8,14922.5,1447,42961.52,779,1405,65152,4018,2.61064e-05,11373,0.75,0.35,0.084805654,0.390625,0.9,0.215547703,12924,-19.72,-44.8,"0.76 - 1.00",1.25194302220219
"Padre Carvalho","Cerrado","MG","SUDESTE",3146255,1.02856196810744,0.972231164486862,1.23167562126818,0.811902080980027,-16.36,-42.51,11104.7,270,2862.03,994,95,13532,3454.39,0.000231367,10937,0.79,0.52,0,0.111111111,0.99,0.405194805,14202,-16.36,-42.51,"0.76 - 1.00",1.16224315828126
"Paineiras","Cerrado","MG","SUDESTE",3146404,1.75738042284398,0.569028758373041,1.75997191162262,0.568190886113654,-18.9,-45.53,54031,1982,27767.73,1334,3249,41897,15616,1.24736e-05,11522,0.7,0.51,0.117647059,0.328947368,0.88,0.195378151,7296,-18.9,-45.53,"0.51 - 0.75",1.90105807712109
"Pains","Cerrado","MG","SUDESTE",3146503,1.12148126210431,0.891677849457455,1.12972190156796,0.885173597689908,-20.37,-45.66,24729.2,1133,27121.56,929,851,59565,3540,1.32908e-05,8077,0.71,0.15,0.003125,0.43452381,0.89,0.20625,19.89,-20.37,-45.66,"0.76 - 1.00",1.21275070134999
"Papagaios","Cerrado","MG","SUDESTE",3146909,1.37349285809061,0.728070767976303,1.41494073630028,0.706743381079518,-19.44,-44.74,38274.1,2281,36396.75,838,2455,54108,12042.82,1.55001e-05,13.83,0.48,0.19,0.022727273,0.426900585,0.74,0.084415584,28029,-19.44,-44.74,"0.51 - 0.75",1.47978936874435
"Paracatu","Cerrado","MG","SUDESTE",3147006,1,1,1.13536537407682,0.88077373401766,-17.22,-46.87,532056.9,59776,546731,8088,14832,940669,115556,1.26079e-06,11227,0.65,0.27,0.100991885,0.411407767,0.91,0.114517583,11226,-17.22,-46.87,"0.76 - 1.00",1.18934986741851
"Pará de Minas","Cerrado","MG","SUDESTE",3147105,0.999999999999791,1.00000000000021,0.999999999999744,1.00000000000026,-19.86,-44.6,39128.4,6583,263481.16,3436,7045,383835,9275,6.15482e-06,14141,0.54,0.39,0.08427673,0.365789474,0.82,0.128301887,168235,-19.86,-44.6,"0.76 - 1.00",1.19471049145834
"Paraopeba","Cerrado","MG","SUDESTE",3147402,1.01501584361484,0.985206296326012,1.02892342343603,0.971889624847451,-19.27,-44.4,43344.6,3146,52713,1585,1277,109308,16090,1.39932e-05,21.61,0.46,0.41,0.111111111,0.345070423,0.86,0.138888889,39044,-19.27,-44.4,"0.76 - 1.00",1.10474402778736
"Passos","Cerrado","MG","SUDESTE",3147907,1.10187845564622,0.907541112974686,1.40422375671703,0.712137218314784,-20.71,-46.61,103102.5,25031,245621,6065,9850,390318,17325,2.98993e-06,16173,0.58,0.63,0.197643979,0.373786408,0.81,0.248036649,85.54,-20.71,-46.61,"0.76 - 1.00",1.19498983138988
