Cidade,Geocode,Eficiencia,Efic_Norm,Latitude,Longitude,x1,x2,x3,x4,x5,y1,y2,Iy3,Iy4,z1,z2,z3,z4,z5,z6,z7,z8,z9,Bioma
Areiópolis,3503604,1,0.283237044470254,-22.66,-48.66,6594.9,85,5266.1,62,21,31361,627515,7.73594e-05,10336,0.38,0.52,0.190476191,0.75,0.81,0.095238095,129291,-22.66,-48.66,Cerrado
Assis,3504008,1.00000000000016,0.2832370444703,-22.66,-50.41,28580.2,2579,39680.79,1118,790,141215,1935,1.25623e-05,24975,0.66,0.41,0.149100257,0.37654321,0.78,0.143958869,223452,-22.66,-50.41,Cerrado
Avaí,3504305,2.0396666102332,0.577709142387114,-22.14,-49.33,42411.5,3186,55192.83,1040,1880,77759,13793.3,1.19971e-05,10621,0.48,0.22,0.002673797,0.431034483,0.67,0.056149733,9871,-22.14,-49.33,Cerrado
Avaré,3504503,1.02686243699961,0.290845481733291,-23.09,-48.92,99610.8,13708,234067,3919,8238,360814,26757,7.60668e-06,26813,0.53,0.54,0.016541353,0.519607843,0.74,0.121804511,73763,-23.09,-48.92,Cerrado
Bariri,3505203,1.63154707477807,0.462114571374228,-22.07,-48.74,35861.2,19183,150021.84,2174,12397,172794,1903.82,1.0836e-05,15158,0.6,0.63,0.243902439,0.461538462,0.91,0.208672087,77861,-22.07,-48.74,Cerrado
Barretos,3505500,1,0.283237044470254,-20.55,-48.56,135743.5,18892,358237,3807,22734,683692,9190,4.37045e-06,25187,0.66,0.35,0.150769231,0.524752475,0.84,0.097435897,77028,-20.55,-48.56,Cerrado
Batatais,3505906,2.49727630510199,0.707321159882684,-20.89,-47.58,65137.8,38716,424645,6480,21571,110832,6539,7.20445e-06,14335,0.64,0.59,0.162234043,0.613636364,0.85,0.236702128,72.37,-20.89,-47.58,Cerrado
Bauru,3506003,1.18060940221783,0.334392317757972,-22.31,-49.06,40587,4552,66973,2070,1945,152233,12538,9.43856e-06,27105,0.52,0.29,0.030379747,0.47826087,0.82,0.118987342,556685,-22.31,-49.06,Cerrado
Bebedouro,3506102,1.15895646576767,0.328259404033725,-20.94,-48.47,61236.5,10302,131290.63,2375,17983,308738,4806,1.11251e-05,23547,0.61,0.67,0.380634391,0.525714286,0.8,0.210350584,113.82,-20.94,-48.47,Cerrado
Boa Esperança do Sul,3506706,1.35977184306103,0.385137757982476,-21.99,-48.39,62741.5,3323,93338.6,2008,24112,162120,12515.12,1.37242e-05,20685,0.53,0.59,0.203592814,0.411764706,0.69,0.113772455,21.32,-21.99,-48.39,Cerrado
Bocaina,3506805,1.00000000000018,0.283237044470305,-22.13,-48.51,29898.1,15103,112682.74,417,940,92837,4648.85,0.000129247,24272,0.44,0.59,0.213740458,0.735294118,0.59,0.297709924,33084,-22.13,-48.51,Cerrado
Bofete,3506904,1.0195029744412,0.288761009309358,-23.1,-48.25,38210.3,1440,35289,794,2595,63436,18337,1.38162e-05,25805,0.52,0.48,0.013215859,0.5,0.91,0.140969163,17192,-23.1,-48.25,Cerrado
Bom Sucesso de Itararé,3507159,1,0.283237044470254,-24.31,-49.14,7124.8,598,7071.81,230,161,6074,5380.12,0.000159625,13142,0.39,0.55,2e-10,0.275862069,0.96,0.035714286,29107,-24.31,-49.14,Cerrado
Borá,3507209,1.19231282617287,0.337707160969179,-22.27,-50.53,7639.8,10776,78444.88,1234,72,8707,1066.65,3.71636e-05,9722,0.34,0.42,0.078947368,0.666666667,0.89,0.210526316,7053,-22.27,-50.53,Cerrado
Borebi,3507456,3.53061161851313,1,-22.56,-48.97,25619.1,4537,39630.67,659,3094,39446,18118.31,6.0477e-05,18.18,0.54,0.66,1e-10,0.419354839,0.83,0.185714286,7405,-22.56,-48.97,Cerrado
Botucatu,3507506,1,0.283237044470254,-22.88,-48.44,96105.5,1107997,217000.6,2430,12866,243019,40534,6.6976e-06,43847,0.46,0.5,0.044568245,0.574850299,0.84,0.155988858,96143,-22.88,-48.44,Cerrado
Brodowski,3507803,1,0.283237044470254,-20.99,-47.65,18841.4,1449,22484.17,586,1025,68955,2525.62,1.8619e-05,24375,0.51,0.56,0.222222222,0.5,0.8,0.169934641,86519,-20.99,-47.65,Cerrado
