Cidade,Geocode,Eficiencia,Efic_Norm,Latitude,Longitude,x1,x2,x3,x4,x5,y1,y2,Iy3,Iy4,z1,z2,z3,z4,z5,z6,z7,z8,z9,Bioma
Água Boa,5100201,1.79330566919231,0.34971058408655,-14.05,-52.15,676628.4,36373,589900.89,3652,36355,719215,223631,7.64387e-06,10254,0.6,0.26,0.010901883,0.271217712,0.87,0.273538157,3262,-14.05,-52.15,Amazônia
Alta Floresta,5100250,1.96883805745163,0.383940963814241,-9.87,-56.08,731303.4,22787,280514,5291,17335,456967,326097,6.28426e-07,11.88,0.72,0.23,0.005970149,0.261517615,0.93,0.197014925,5606,-9.87,-56.08,Amazônia
Alto Boa Vista,5100359,1.66239565131782,0.324181964175206,-11.67,-51.38,98039.3,3988,42260.68,1630,393,69040,58661.81,1.26027e-05,9236,0.88,0.14,0.009661836,0.358974359,0.93,0.154589372,2886,-11.67,-51.38,Amazônia
Alto Paraguai,5100508,1.80386272786817,0.351769304593151,-14.51,-56.48,105410.5,2406,39879.24,1626,2653,69394,37384.62,5.71166e-06,10724,0.72,0.15,0.001620746,0.392771084,0.83,0.074554295,5.92,-14.51,-56.48,Amazônia
Apiacás,5100805,2.73964265706303,0.534254728710837,-9.54,-57.44,575335.3,5445,65855.2,2574,3609,91780,349868.8,1.9282e-06,10375,0.63,0.15,0,0.307992203,0.97,0.188218391,0.47,-9.54,-57.44,Amazônia
Araputanga,5101258,1.46862009135659,0.286394003416536,-15.47,-58.35,136640.2,5312,120225.17,2161,6662,164124,23253.5,2.23684e-06,11963,0.73,0.35,0.163558106,0.367346939,0.74,0.24964132,10071,-15.47,-58.35,Amazônia
Arenápolis,5101308,1.28019857082115,0.249650128051105,-14.44,-56.84,29423.8,1001,12747.23,736,808,30959,6547.27,9.83354e-06,13997,0.74,0.24,0.003521127,0.361290323,0.97,0.165492958,22751,-14.44,-56.84,Amazônia
Aripuanã,5101407,3.1545146778627,0.615158469332125,-10.16,-59.45,1112073.1,12377,119517.07,5518,9267,178659,708519,9.88045e-07,10573,0.73,0.08,0.002399232,0.261111111,0.84,0.11756238,0.85,-10.16,-59.45,Amazônia
Barra do Bugres,5101704,1.38691204641947,0.270460206624158,-15.07,-57.18,380886.9,21455,195848.94,2824,9061,391252,161650,1.1589e-06,9.06,0.69,0.2,0.016917293,0.18443804,0.84,0.12406015,5625,-15.07,-57.18,Amazônia
Bom Jesus do Araguaia,5101852,2.03722018725296,0.397276088419449,-12.17,-51.5,330690.7,18849,270304.74,3038,47704,351345,49560,2.58724e-06,6369,0.77,0.03,0,0.231284916,0.97,0.154825027,1466,-12.17,-51.5,Amazônia
Brasnorte,5101902,1.16108192692097,0.226421321145295,-12.15,-57.97,991359.9,38380,419494.72,5632,23727,1101164,507455,9.19977e-07,11515,0.75,0.16,0.008483563,0.37065053,0.83,0.365853659,1171,-12.15,-57.97,Amazônia
Cáceres,5102504,1.80189612311712,0.351385799143986,-16.07,-57.67,1717353.6,17984,244503,9270,15711,479699,371009.54,4.48503e-07,10359,0.74,0.14,0.008766968,0.319587629,0.9,0.199943439,3711,-16.07,-57.67,Amazônia
Campinápolis,5102603,1.89541456571609,0.369622728712652,-14.51,-52.89,290040,6986,119160.66,4057,4445,181598,75440.14,1.78933e-06,21226,0.75,0.14,0.096269555,0.243055556,0.92,0.154031288,2572,-14.51,-52.89,Amazônia
Campo Novo do Parecis,5102637,1,0.195008910134131,-13.67,-57.89,561389.7,65447,924534,4076,53805,2225382,146191,1.06733e-06,32.52,0.35,0.62,0.048327138,0.425742574,0.75,0.397769517,3556,-13.67,-57.89,Amazônia
Canabrava do Norte,5102694,1.83815587363182,0.358456773573592,-11.05,-51.83,215450.3,4608,40621.22,1719,1740,101944,48131.42,2.7084e-06,6782,0.78,0.06,0,0.330049261,0.98,0.090053763,1341,-11.05,-51.83,Amazônia
Canarana,5102702,1.34095577840129,0.261498324884101,-13.55,-52.16,790209.3,43056,589716,2623,65960,736139,410696,3.04187e-05,11933,0.27,0.54,0.006756757,0.408653846,0.87,0.418918919,1903,-13.55,-52.16,Amazônia
Carlinda,5102793,2.19381808662769,0.427814074105811,-9.95,-55.83,193907.5,7190,107302,3084,6763,149210,58899,1.83958e-06,11005,0.83,0.17,0.036117382,0.236363636,0.92,0.212189616,4195,-9.95,-55.83,Amazônia
Castanheira,5102850,2.13814512759365,0.416957351040641,-11.13,-58.6,419381.6,8852,84276,3187,2951,156861,171275.27,1.17637e-06,6912,0.86,0.08,0.000694444,0.241855874,1,0.100694444,2162,-11.13,-58.6,Amazônia
Cláudia,5103056,1.51515632061415,0.295468982765806,-11.51,-54.89,217042.1,17826,237698,2069,22861,396880,100128.94,4.28325e-06,18629,0.58,0.35,0.036827196,0.247474748,0.47,0.208215297,3043,-11.51,-54.89,Amazônia
Colíder,5103205,2.07651931797587,0.404939769070944,-10.81,-55.45,246859.8,9790,130206.53,4088,6324,210430,52474,1.23228e-06,8782,0.78,0.11,0.018508132,0.218315617,0.92,0.265844083,10405,-10.81,-55.45,Amazônia
Colniza,5103254,3.0409215020563,0.593006787919443,-9.45,-59.22,798507.8,11471,88513.35,11096,3073,207933,473938.68,8.7548e-07,11.32,0.79,0.02,0,0.176011356,0.74,0.195107914,1294,-9.45,-59.22,Amazônia
Comodoro,5103304,1.50249849986309,0.293000594936468,-13.66,-59.78,516907.6,14411,240291,4869,13154,413500,203778.76,1.38741e-06,11.31,0.68,0.2,0.010770505,0.233850129,0.9,0.134217067,0.93,-13.66,-59.78,Amazônia
Confresa,5103353,2.29813167785171,0.448156153842585,-10.64,-51.56,440013.7,11008,124785.92,6516,4971,236564,128413.86,1.14631e-06,9137,0.84,0.05,0.00173913,0.249066003,0.99,0.173043478,5.08,-10.64,-51.56,Amazônia
Conquista D'Oeste,5103361,1,0.195008910134131,-14.54,-59.54,101742.4,2459,21563.23,716,1259,101418,41600.95,6.72159e-06,12736,0.78,0.46,0,0.393617021,0.38,0.196078431,1438,-14.54,-59.54,Amazônia
Cotriguaçu,5103379,2.90347682279643,0.566203850813241,-9.85,-58.41,541269.9,6305,61288,6052,2903,122384,357660.61,1.35681e-06,11696,0.76,0.03,0.003419639,0.240987984,0.88,0.115779189,1984,-9.85,-58.41,Amazônia
Curvelândia,5103437,1,0.195008910134131,-15.6,-57.91,29078,1730,1,1245,226,90485,695158,6.50112e-06,7554,0.84,0.04,0.010729614,0.276836158,0.99,0.034334764,14063,-15.6,-57.91,Amazônia
Denise,5103452,1.26060650692147,0.24582950102275,-14.73,-57.05,109490,8280,261315.26,2326,6343,265685,26589.35,2.79951e-06,6604,0.79,0.02,0.001848429,0.384823848,0.88,0.009242144,7129,-14.73,-57.05,Amazônia
Diamantino,5103502,1.36666865768731,0.266512565450078,-14.4,-56.44,586433.2,60796,875170,5024,64826,1551889,165962.29,1.22641e-06,12181,0.66,0.39,0.020125786,0.317901235,0.71,0.249056604,2599,-14.4,-56.44,Amazônia
Feliz Natal,5103700,1.5266558118525,0.297711486019292,-12.38,-54.91,367142.4,26624,290697.47,2385,22760,474434,212529.57,4.67733e-06,16871,0.57,0.4,0.029605263,0.25433526,0.92,0.286184211,1152,-12.38,-54.91,Amazônia
Figueirópolis D'Oeste,5103809,2.01233640289916,0.392423528752603,-15.44,-58.74,81383.9,4191,47178.65,1703,3476,90489,9273,3.45212e-06,9604,0.83,0.38,0.115760112,0.290268456,0.9,0.386331939,3878,-15.44,-58.74,Amazônia
Gaúcha do Norte,5103858,1.90398840097946,0.371294702983031,-13.24,-53.08,574927.4,41831,412113,4591,42836,634962,229868,2.1357e-06,14208,0.46,0.35,0.001915709,0.33126935,0.92,0.285440613,0.43,-13.24,-53.08,Amazônia
Glória D'Oeste,5103957,1.42749910122662,0.278375043947655,-15.76,-58.35,71456.4,1794,22225.97,842,221,41344,13345.23,4.47256e-06,6098,0.76,0.31,0,0.277580071,0.96,0.204081633,3548,-15.76,-58.35,Amazônia
Guarantã do Norte,5104104,2.11932861144998,0.413287962734942,-9.78,-54.9,324283.6,10673,108241,4674,3128,207330,115896,1.34894e-06,10.27,0.72,0.41,0.019270475,0.26919519,0.96,0.214039917,7287,-9.78,-54.9,Amazônia
